Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code_2;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date;f_is_exchanged;f_invc_full_name;КВАЛ;Торговый календарь
1185;MCO;Moody's Corporation;Акции;Акции иностранного эмитента обыкновенные;;US6153691059;ESVUFR;1,00;0,01;USD;18.05.2017 0:00:00;;Moody's Corporation;НЕТ;Эмитенты с листингом в США
1186;MCRI;Monarch Casino & Resort, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US6090271072;ESVUFR;1,00;0,01;USD;11.06.2019 0:00:00;;Monarch Casino & Resort, Inc.;НЕТ;Эмитенты с листингом в США
1187;MD;Pediatrix Medical Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US58502B1061;ESVUFR;1,00;0,01;USD;04.04.2019 0:00:00;;Pediatrix Medical Group, Inc.;НЕТ;Эмитенты с листингом в США
1188;MDB;MongoDB, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US60937P1066;ESVUFR;1,00;0,01;USD;05.08.2019 0:00:00;;MongoDB, Inc.;НЕТ;Эмитенты с листингом в США
1189;MDC;M.D.C. Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US5526761086;ESVUFR;1,00;0,01;USD;28.01.2022 0:00:00;;M.D.C. Holdings, Inc.;НЕТ;Эмитенты с листингом в США
1190;MDGL;Madrigal Pharmaceuticals, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US5588681057;ESVUFR;1,00;0,01;USD;31.10.2019 0:00:00;;Madrigal Pharmaceuticals, Inc.;НЕТ;Эмитенты с листингом в США
1191;MDLZ;Mondelez International, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US6092071058;ESVUFR;1,00;0,01;USD;19.10.2016 0:00:00;;Mondelez International, Inc.;НЕТ;Эмитенты с листингом в США
1192;MDRX;Veradigm Inc. ;Акции;Акции иностранного эмитента обыкновенные;;US01988P1084;ESVUFR;1,00;0,01;USD;05.08.2019 0:00:00;;Veradigm Inc. ;НЕТ;Эмитенты с листингом в США
1193;MDT;Medtronic Public Limited Company;Акции;Акции иностранного эмитента обыкновенные;;IE00BTN1Y115;ESVUFR;1,00;0,01;USD;19.10.2016 0:00:00;;Medtronic Public Limited Company;НЕТ;Эмитенты с листингом в США
1194;MDU;MDU Resources Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US5526901096;ESVUFR;1,00;0,01;USD;04.12.2020 0:00:00;;MDU Resources Group, Inc.;НЕТ;Эмитенты с листингом в США
1195;MED;Medifast, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US58470H1014;ESVUFR;1,00;0,01;USD;18.05.2020 0:00:00;;Medifast, Inc.;НЕТ;Эмитенты с листингом в США
